GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTYA,GEO_ID,TL_GEO_ID,NAME_E,Median_Age,Total_POP,Pct_White,Pct_Black,Pct_Indigenous,Pct_Asian,Pct_PI,Pct_OtherRace,Pct_MixedRace,Pct_Hispanic,Total_Over25,Pct_NoSchool,Pct_JuniorSchool,Pct_HS_NoDiploma,Pct_HS,Pct_SomeCollege,Pct_Bachelor,Pct_PostBachelor,Total_Households,Pct_Under15K,Pct_under30k,Pct_under60k,Pct_under100k,Pct_under150k,Pct_under200k,Pct_over200k,Pct_halfPoverty,Pct_Poverty,URBAN
G0100010,2019-2023,AL,Alabama,1,1,0500000US01001,1001,"Autauga County, Alabama",39.2,59285,71.68255039,19.95277052,0.07084422704,1.010373619,0,0.3677152737,3.225099098,3.690646875,40767,0.6598474256,0.8143841833,8.246866338,32.67593887,29.32028356,15.98842201,12.29425761,22523,6.690938152,12.28965946,23.60697953,25.84469209,15.27327621,7.885272832,8.409181725,5.395787574,5.28851884,59.3231868
G0100030,2019-2023,AL,Alabama,1,3,0500000US01003,1003,"Baldwin County, Alabama",43.7,239945,81.41324053,7.93973619,0.2533914022,0.9414657526,0.03250744962,0.4005084499,3.437454417,5.581695805,171988,0.8268018699,1.231481266,6.210316999,27.54203782,31.391725,20.55259669,12.24504035,94642,7.968977832,9.932165423,23.30360728,22.84926354,18.29948649,7.963694766,9.682804674,4.209861846,6.304836872,62.41354464
G0100050,2019-2023,AL,Alabama,1,5,0500000US01005,1005,"Barbour County, Alabama",40.7,24757,43.65230036,46.8998667,0.1373348952,0.5493395807,0,1.203699964,1.538958678,6.018499818,17628,1.213977763,5.71817563,15.25414114,37.60494668,28.74404357,6.688223281,4.776491945,9080,17.07048458,22.2907489,22.48898678,18.37004405,12.63215859,3.303964758,3.843612335,12.26327945,9.658198614,34.08000634
G0100070,2019-2023,AL,Alabama,1,7,0500000US01007,1007,"Bibb County, Alabama",41.3,22152,73.73149151,20.69790538,0.1083423619,0.230227519,0,0.09028530155,1.783134706,3.358613218,15931,1.688531793,4.814512586,13.15673843,41.12736175,27.7446488,7.036595317,4.431611324,7571,14.34420816,16.58961828,24.4221371,23.29943204,13.20829481,4.939902259,3.196407344,11.52753023,8.984055109,0
G0100090,2019-2023,AL,Alabama,1,9,0500000US01009,1009,"Blount County, Alabama",40.9,59292,84.95918505,1.259866424,0.1011940903,0.08601497673,0.1484179991,0.2260001349,3.164001889,10.05531944,40991,2.388329145,3.949647484,10.96582177,35.61757459,31.49959747,9.972920885,5.606108658,21977,11.50293489,13.71888793,24.00236611,22.26418528,16.28520726,6.716112299,5.510306229,5.178556209,8.916730589,9.510603037
G0100110,2019-2023,AL,Alabama,1,11,0500000US01011,1011,"Bullock County, Alabama",40.4,10157,21.09874963,71.22181747,0,0.4627350596,0,0,1.535886581,5.680811263,7378,2.724315533,6.709135267,16.52209271,40.58010301,24.46462456,6.68202765,2.317701274,3453,22.96553721,18.79525051,27.13582392,16.6521865,11.75789169,1.013611352,1.679698813,9.630115999,16.02101116,0
G0100130,2019-2023,AL,Alabama,1,13,0500000US01013,1013,"Butler County, Alabama",42.2,18807,50.67793907,44.72270963,0.3668846706,1.323975116,0,0.04253735311,1.270803424,1.595150742,13164,2.597994531,1.861136433,7.945913096,46.96140991,26.86873291,7.945913096,5.81890003,7262,10.86477554,24.3183696,25.69540072,18.38336546,11.51198017,5.687138529,3.538969981,8.371690042,12.6441761,30.56532465
G0100150,2019-2023,AL,Alabama,1,15,0500000US01015,1015,"Calhoun County, Alabama",39,116141,69.82719281,21.5505291,0.1618722071,0.7387572003,0.1704824308,0.3822939358,2.734607072,4.434265247,78627,1.423175245,2.879418012,9.611202259,34.48815292,31.05294619,12.51732865,8.027776718,45125,13.75734072,13.40720222,26.41551247,23.30193906,15.06703601,4.392243767,3.658725762,8.698951804,8.763236371,63.50598157
G0100170,2019-2023,AL,Alabama,1,17,0500000US01017,1017,"Chambers County, Alabama",41.5,34450,53.91872279,39.72133527,0.02322206096,0.5834542816,0.008708272859,0.2699564586,1.788098694,3.686502177,24484,2.295376572,3.602352557,10.48031367,38.45368404,30.58323803,9.745139683,4.839895442,13419,12.5866309,16.59587153,28.04232804,21.35032417,13.54795439,5.007824726,2.869066249,6.273380441,9.20669794,49.25514782
G0100190,2019-2023,AL,Alabama,1,19,0500000US01019,1019,"Cherokee County, Alabama",47.4,25224,90.72312084,3.734538535,0.3766254361,0.1308277831,0,0.06739613067,3.235014272,1.732477006,18777,1.523140012,3.781221707,10.82707568,37.3595356,30.56398786,9.192096714,6.75294243,10477,9.563806433,16.65553116,29.35000477,22.89777608,12.61811587,5.115968312,3.798797366,4.933746828,9.589592815,0
G0100210,2019-2023,AL,Alabama,1,21,0500000US01021,1021,"Chilton County, Alabama",39.5,45500,77.1032967,9.153846154,0.03736263736,0.4879120879,0.03516483516,0.9758241758,2.340659341,9.865934066,30747,2.865320194,2.836049045,10.1115556,41.23979575,27.70026344,9.295215793,5.951800176,17554,10.25976985,12.76632107,24.74649653,28.42087274,14.88549618,5.673920474,3.247123163,5.456165757,8.158627604,14.45550273
G0100230,2019-2023,AL,Alabama,1,23,0500000US01023,1023,"Choctaw County, Alabama",47,12525,56.55888224,38.13972056,0.119760479,0.1756487026,0,0,3.920159681,1.085828343,8998,2.267170482,3.589686597,9.924427651,40.47566126,29.82885086,9.902200489,4.012002667,5174,16.02241979,18.10977967,27.59953614,16.3703131,15.51990723,4.638577503,1.739466564,7.48684743,12.043707,0
G0100250,2019-2023,AL,Alabama,1,25,0500000US01025,1025,"Clarke County, Alabama",42.5,22802,51.1972634,45.34689939,0.03947022191,0.3113761951,0,0.7104639944,1.24989036,1.144636435,15966,2.856069147,1.359138169,10.51609671,42.37128899,27.47087561,9.676813228,5.749718151,8452,15.49929011,16.20918126,25.79271178,20.59867487,11.96166588,5.785612873,4.152863228,8.864710604,11.67840899,0
G0100270,2019-2023,AL,Alabama,1,27,0500000US01027,1027,"Clay County, Alabama",43.8,14188,79.334649,12.96870595,0.1339159853,0.3312658585,0,0.1903016634,3.862418946,3.178742599,10259,1.744809436,3.899015499,11.59957111,37.01140462,30.50979628,11.24865971,3.986743347,5765,13.59930616,14.53599306,27.8057242,21.43972246,15.03902862,4.73547268,2.844752819,6.510454218,10.03604903,0
G0100290,2019-2023,AL,Alabama,1,29,0500000US01029,1029,"Cleburne County, Alabama",42.3,15254,92.54621739,3.920283204,0.1770027534,0.1048905205,0,0.2753376164,0.9702373148,2.006031205,10861,1.224564957,3.102845042,10.27529693,38.94668999,28.23865206,11.05791364,7.154037381,5849,11.33527099,16.85758249,25.91896051,22.4653787,15.50692426,5.35134211,2.564540947,4.50205543,8.652698581,0
G0100310,2019-2023,AL,Alabama,1,31,0500000US01031,1031,"Coffee County, Alabama",38.8,54231,67.90765429,15.90049971,0.411203924,0.9293577474,0.09035422544,0.1770205233,5.187070126,9.396839446,36904,1.615001084,2.931931498,9.429872101,29.08085844,35.41350531,12.18567093,9.343160633,20860,12.94822627,12.07094919,22.87152445,21.45733461,17.32502397,7.962607862,5.364333653,7.714922383,9.903937981,52.46984008
G0100330,2019-2023,AL,Alabama,1,33,0500000US01033,1033,"Colbert County, Alabama",42.3,57648,77.44934777,15.79066056,0.1474465723,0.3972384124,0.03295864557,0.1752012212,2.72862892,3.278517902,40978,1.149397238,1.90102006,9.400165943,34.55512714,32.72243643,12.87032066,7.40153253,24217,12.44580254,13.4120659,27.46830739,22.35619606,14.33290664,6.30548788,3.679233596,7.682597567,9.193870753,59.70433537
G0100350,2019-2023,AL,Alabama,1,35,0500000US01035,1035,"Conecuh County, Alabama",46.3,11411,50.06572605,45.41232144,0.1489790553,0.2366137937,0,0.1139251599,3.137323635,0.8851108579,8127,0.5167958656,1.882613511,10.11443337,48.08662483,26.2704565,6.952134859,6.176941061,4528,17.33657244,16.74028269,31.31625442,16.93904594,12.05830389,2.296819788,3.312720848,11.2575168,16.37778564,0
G0100370,2019-2023,AL,Alabama,1,37,0500000US01037,1037,"Coosa County, Alabama",50.3,10323,64.3223869,29.6909813,0.125932384,0,0,0.8718395815,2.615518745,2.373341083,7935,1.776937618,2.608695652,12.84183995,39.50850662,28.39319471,10.27095148,4.599873976,4201,8.164722685,15.02023328,29.85003571,24.30373721,15.71054511,2.356581766,4.594144251,5.187262167,6.43901462,0
G0100390,2019-2023,AL,Alabama,1,39,0500000US01039,1039,"Covington County, Alabama",42.8,37647,82.50591017,11.72204957,0.1859377905,0.4010943767,0,0.2151565862,3.038754748,1.931096767,26459,1.319021883,2.577572849,9.921009864,36.83056805,32.17430742,9.811406327,7.36611361,14495,14.62573301,17.21283201,24.37392204,21.14522249,12.02483615,5.650224215,4.967230079,7.966943934,10.07615858,31.18445568
G0100410,2019-2023,AL,Alabama,1,41,0500000US01041,1041,"Crenshaw County, Alabama",42.4,13144,70.13085819,23.28819233,0.2130249544,1.011868533,0.03804017042,0.03804017042,3.48447961,1.795496044,9104,2.207820738,3.910369069,11.30272408,41.30052724,24.47275923,11.48945518,5.316344464,5075,16.80788177,17.14285714,26.02955665,19.33004926,12.45320197,4.650246305,3.586206897,7.196763402,8.994009181,0
