FIPS,COUNAM,STABBREV,TOTRATE_2020,EVANRATE_2020,BPRTRATE_2020,MPRTRATE_2020,CATHRATE_2020,ORTHRATE_2020,LDSRATE_2020,CJUDRATE_2020,IJUDRATE_2020,OJUDRATE_2020,RJUDRATE_2020,RFRMRATE_2020,MSLMRATE_2020,HINTRATE_2020,MAHBUDRATE_2020,THBUDRATE_2020,VAJBUDRATE_2020
48301,Loving County,TX,0,0,0,0,0,0,,,,,,,,,,,
15005,Kalawao County,HI,43.90000153,18.29000092,0,1.220000029,24.38999939,0,,,,,,,,,,,
48269,King County,TX,452.4500122,452.4500122,0,0,0,0,,,,,,,,,,,
48261,Kenedy County,TX,63.13999939,0,0,0,63.13999939,0,,,,,,,,,,,
31117,McPherson County,NE,33.59000015,11.52999973,0,22.05999947,0,0,,,,,,,,,,,
31009,Blaine County,NE,58.69999695,48.48999786,0,10.21000004,0,0,,,,,,,,,,,
31005,Arthur County,NE,0,0,0,0,0,0,,,,,,,,,,,
30069,Petroleum County,MT,7.460000038,0,0,2.420000076,5.039999962,0,,,,,,,,,,,
48311,McMullen County,TX,54.83000183,21.5,0,0,33.33000183,0,,,,,,,,,,,
31115,Loup County,NE,3.460000038,3.460000038,0,0,0,0,,,,,,,,,,,
31075,Grant County,NE,66.11000061,37.15000153,0,7.03000021,21.60000038,0,,,,,,,,,,,
48033,Borden County,TX,43.41999817,43.41999817,0,0,0,0,,,,,,,,,,,
35021,Harding County,NM,156.3099976,4.260000229,0,6.239999771,75.33999634,0,,,,,,,70.47,,,,
2282,Yakutat City and Borough,AK,61.33000183,9.520000458,0,1.659999967,18.12999916,0,32.02,,,,,,,,,,
31171,Thomas County,NE,49.77999878,14.80000019,0,16.73999977,18.23999977,0,,,,,,,,,,,
31007,Banner County,NE,17.65999985,14.84000015,0,2.819999933,0,0,,,,,,,,,,,
8111,San Juan County,CO,60.13999939,2.269999981,0,25.81999969,3.400000095,0,28.37,,,,,,,,,,
38087,Slope County,ND,27.06000137,0,0,18.42000008,8.640000343,0,,,,,,,,,,,
31091,Hooker County,NE,116.5899963,24.19000053,0,41.63000107,19.96999931,0,30.8,,,,,,,,,,
31113,Logan County,NE,81.41999817,0,0,0,81.41999817,0,,,,,,,,,,,
32009,Esmeralda County,NV,13.59000015,3.160000086,0,0,10.28999996,0,,,,,,,,,,,
48263,Kent County,TX,88.44000244,75.95999908,0,5.840000153,6.639999866,0,,,,,,,,,,,
48443,Terrell County,TX,101.1900024,53.55999756,0,0,47.63000107,0,,,,,,,,,,,
30103,Treasure County,MT,44.22999954,11.55000019,0,6.960000038,25.71999931,0,,,,,,,,,,,
31103,Keya Paha County,NE,67.88000488,50.97000122,0,16.90999985,0,0,,,,,,,,,,,
31183,Wheeler County,NE,30.75,6.720000267,0,15.11999989,8.909999847,0,,,,,,,,,,,
8053,Hinsdale County,CO,25.63000107,10.90999985,0,14.72000027,0,0,,,,,,,,,,,
16033,Clark County,ID,28.98999977,0,0,6.079999924,0,0,22.91,,,,,,,,,,
30037,Golden Valley County,MT,25.98999977,16.63999939,0,4.25,5.099999905,0,,,,,,,,,,,
48393,Roberts County,TX,62.02999878,37.97000122,0,24.05999947,0,0,,,,,,,,,,,
2060,Bristol Bay Borough,AK,26.66000175,20.1400013,0,0,1.779999971,4.739999771,,,,,,,,,,,
31085,Hayes County,NE,38.90000153,20.32999992,0,18.56999969,0,0,,,,,,,,,,,
8079,Mineral County,CO,41.95999908,12.60000038,0,18.48999977,10.86999989,0,,,,,,,,,,,
46075,Jones County,SD,87.47000122,28.25,0,18.54000092,40.56999969,0,,,,,,,,,,,
49009,Daggett County,UT,51.11999893,0,0,0,0,0,51.12,,,,,,,,,,
30109,Wibaux County,MT,54.01000214,15.80000019,0,10.46000004,27.75,0,,,,,,,,,,,
38007,Billings County,ND,9.730000496,0,0,6.340000153,3.390000105,0,,,,,,,,,,,
48345,Motley County,TX,64.34999847,47.70000076,0,9.5,7.150000095,0,,,,,,,,,,,
16025,Camas County,ID,68.98999786,37.13999939,0,0,4.550000191,0,26.93,,,,,,,,,,
30079,Prairie County,MT,25.37000084,6.340000153,0,14.43000031,4.599999905,0,,,,,,,,,,,
48155,Foard County,TX,57.06999969,36.97999954,0,14.52000046,5.570000172,0,,,,,,,,,,,
48173,Glasscock County,TX,75.80999756,7.170000076,0,3.319999933,65.31999969,0,,,,,,,,,,,
31165,Sioux County,NE,39.29999924,15.85999966,0,11.81000042,11.53999996,0,,,,,,,,,,,
30033,Garfield County,MT,48.25,12.95000076,0,6.740000248,10.65999985,0,17.9,,,,,,,,,,
6003,Alpine County,CA,0,0,0,0,0,0,,,,,,,,,,,
2230,Skagway Municipality,AK,22.18000031,1.210000038,0,0,3.869999886,0,17.1,,,,,,,,,,
48433,Stonewall County,TX,166.980011,111.1600037,24.10000038,18.06999969,13.64999962,0,,,,,,,,,,,
31149,Rock County,NE,46.27000427,5.380000114,0,32.97000122,7.920000076,0,,,,,,,,,,,
46069,Hyde County,SD,89.30000305,26.63000107,0,45.24000168,17.43000031,0,,,,,,,,,,,
38083,Sheridan County,ND,52.95999908,16.75,0,32.72999954,3.480000019,0,,,,,,,,,,,
20071,Greeley County,KS,34.11000061,10.27999973,0,15.26000023,8.569999695,0,,,,,,,,,,,
46063,Harding County,SD,60.40000153,13.80000019,0,20.06000137,26.54000092,0,,,,,,,,,,,
28055,Issaquena County,MS,15.76999855,9.18999958,5.679999828,0.8999999762,0,0,,,,,,,,,,,
48431,Sterling County,TX,72.52000427,37.54000092,0,23.31999969,11.14999962,0,,,,,,,,,,,
